Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1761163090,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1761163091,20,,Aggregated,0.000000,0.000000,680,700,700,710,710,710,710,710,710,710,710,14,0,650.0,658.7763207142286,600.3184790006344,709.1809419998754,776.1428571428571
1761163092,40,,Aggregated,0.000000,0.000000,470,630,700,710,1000,1000,1000,1000,1000,1000,1000,42,0,440.0,504.1046846190511,17.128237999713747,1024.7989029994642,1011.547619047619
1761163093,60,,Aggregated,7.000000,0.000000,240,300,600,610,710,1000,1000,1000,1000,1000,1000,79,0,240.0,323.00611003793625,9.74936000056914,1024.7989029994642,1157.8481012658228
1761163094,80,,Aggregated,20.000000,0.000000,150,230,300,310,690,1000,1000,1000,1000,1000,1000,120,0,150.0,235.83358284996999,8.687188999829232,1024.7989029994642,1234.8166666666666
1761163095,100,,Aggregated,0.000000,0.000000,22,38,85,94,120,140,140,140,140,140,140,63,0,22,45.910011095252734,7.795086000442097,141.6471669999737,1538.1746031746031
1761163096,100,,Aggregated,0.000000,0.000000,18,24,30,34,97,130,140,140,140,140,140,120,0,18,31.831294908321677,6.898008000462141,141.6471669999737,1613.4583333333333
1761163097,100,,Aggregated,51.000000,0.000000,17,22,25,29,73,110,140,140,140,140,140,162,0,17,27.803399648151462,6.898008000462141,141.6471669999737,1808.388888888889
1761163098,100,,Aggregated,52.000000,0.000000,16,20,23,25,35,97,130,140,140,140,140,223,0,16,24.237250282506224,6.640339999648859,141.6471669999737,1961.0986547085201
1761163099,100,,Aggregated,48.333333,0.000000,15,19,22,24,32,88,130,140,140,140,140,261,0,15,22.433498118781415,5.885537999347434,141.6471669999737,1953.2988505747126
1761163100,100,,Aggregated,48.750000,0.000000,14,17,20,22,29,85,120,140,140,140,140,315,0,14,20.545046825397534,5.610699000499153,141.6471669999737,2160.5809523809526
1761163101,100,,Aggregated,49.000000,0.000000,14,17,20,21,28,63,110,140,140,140,140,363,0,14,19.41306056473138,5.610699000499153,141.6471669999737,2334.3608815426996
1761163102,100,,Aggregated,48.333333,0.000000,13,16,19,20,26,44,110,130,140,140,140,417,0,13,18.192857270970926,5.405769999924814,141.6471669999737,2423.4748201438847
1761163103,100,,Aggregated,49.428571,0.000000,12,15,17,20,25,35,110,130,140,140,140,460,0,12,17.30232883259621,4.6618870001111645,141.6471669999737,2477.9478260869564
1761163104,100,,Aggregated,49.000000,0.000000,12,15,17,19,25,32,98,130,140,140,140,504,0,12,16.70046732339783,4.346640999756346,141.6471669999737,2628.3690476190477
1761163105,100,,Aggregated,49.777778,0.000000,11,14,16,18,24,31,97,130,140,140,140,564,0,11,15.824674526577754,3.9778280006430577,141.6471669999737,2957.0833333333335
1761163106,100,,Aggregated,49.200000,0.000000,11,14,16,17,23,30,94,120,140,140,140,605,0,11,15.253671051228473,3.9778280006430577,141.6471669999737,3020.209917355372
1761163107,100,,Aggregated,49.000000,0.000000,11,13,15,17,23,29,88,120,140,140,140,659,0,11,14.594583166912791,3.9778280006430577,141.6471669999737,3098.955993930197
1761163108,100,,Aggregated,49.000000,0.000000,10,13,15,16,22,29,88,110,140,140,140,708,0,10,14.081439548018778,3.9778280006430577,141.6471669999737,3137.4110169491523
1761163109,100,,Aggregated,49.100000,0.000000,10,12,14,16,21,28,85,110,140,140,140,753,0,10,13.759302721106796,3.8961800000834046,141.6471669999737,3430.733067729084
1761163110,100,,Aggregated,49.700000,0.000000,10,12,14,16,20,27,73,110,140,140,140,803,0,10,13.344345901614734,3.8961800000834046,141.6471669999737,3563.1332503113326
1761163111,100,,Aggregated,49.200000,0.000000,10,12,14,15,20,27,64,110,140,140,140,860,0,10,12.9935942395351,3.4988560000783764,141.6471669999737,3759.9337209302325
1761163112,100,,Aggregated,49.500000,0.000000,10,12,13,15,20,26,63,110,140,140,140,901,0,10,12.764920503883275,3.4988560000783764,141.6471669999737,3872.1132075471696
